request_id,street_1_norm,street_2_norm,city_norm,state_norm,zip_norm,provider_count,geocoding_source,geocoding_status,geocoding_match_count,geocoded_matched_address,provider_latitude,provider_longitude,geocoded_tiger_line_id,geocoded_side
1,# L-3539,,COLUMBUS,OH,43260,1,Census_Geocoder,unmatched,0,,,,,
4,000 UNIVERSITY DRIVE C,132 Y-A,PITTSBURGH,PA,15240,1,Census_Geocoder,unmatched,0,,,,,
5,0610 TERRAPIN TRAIL,UNIVERSITY OF MARYLAND,COLLEGE PARK,MD,20741,1,Census_Geocoder,unmatched,0,,,,,
6,1 AMERICAN SQ,SUITE 185,INDIANAPOLIS,IN,46282,1,Census_Geocoder,unmatched,0,,,,,
7,1 AMERICAN SQ STE 185,,INDIANAPOLIS,IN,46282,1,Census_Geocoder,unmatched,0,,,,,
8,1 AYERS CIRCLE,BLDG H-1 NAVAL BRANCH HEALTH CLINIC,PORTSMOUTH,NH,03804,1,Census_Geocoder,unmatched,0,,,,,
9,1 AYRES CIRCLE,NAVAL BRANCH HEALTH CLINIC BUILDING H-1,PORTSMOUTH,NH,03804,1,Census_Geocoder,unmatched,0,,,,,
10,1 ELIZABETH PL,4TH FLOOR,DAYTON,OH,45408,1,Census_Geocoder,unmatched,0,,,,,
11,1 ELIZABETH PL,SUITE 190,DAYTON,OH,45408,1,Census_Geocoder,unmatched,0,,,,,
12,1 ELIZABETH PLACE,SUITE 300,DAYTON,OH,45408,1,Census_Geocoder,unmatched,0,,,,,
13,1 ELIZABETH PLACE,WEST PAVILION 1ST FLOOR SUITE C,DAYTON,OH,45408,1,Census_Geocoder,unmatched,0,,,,,
14,1 FLETCHER DR,PHARMACY SHCC UNIVERSITY OF FLORIDA,GAINESVILLE,FL,32611,1,Census_Geocoder,unmatched,0,,,,,
15,1 FLETCHER DR,SHCC,GAINESVILLE,FL,32611,2,Census_Geocoder,unmatched,0,,,,,
16,1 FLETCHER DR,STUDENT HEALTH CARE CENTER,GAINESVILLE,FL,32611,2,Census_Geocoder,unmatched,0,,,,,
17,1 FLETCHER DR,UNIVERSITY OF FLORIDA,GAINESVILLE,FL,32611,1,Census_Geocoder,unmatched,0,,,,,
18,1 FLETCHER DR,,GAINESVILLE,FL,32611,3,Census_Geocoder,unmatched,0,,,,,
19,1 FLETCHER DRIVE,SHCC,GAINESVILLE,FL,32611,1,Census_Geocoder,unmatched,0,,,,,
20,1 FLETCHER DRIVE,SHCC RM 245,GAINESVILLE,FL,32611,1,Census_Geocoder,unmatched,0,,,,,
21,1 FLETCHER DRIVE,UF INFIRMARY,GAINESVILLE,FL,32611,1,Census_Geocoder,unmatched,0,,,,,
22,1 FLETCHER DRIVE,UNIVERSITY OF FLORIDA SHCC,GAINESVILLE,FL,32611,1,Census_Geocoder,unmatched,0,,,,,
23,1 FLETCHER DRIVE,,GAINESVILLE,FL,32611,3,Census_Geocoder,unmatched,0,,,,,
24,1 GENERAL ST,,LAWRENCE,MA,01842,1,Census_Geocoder,matched,1,"1 GENERAL ST, LAWRENCE, MA, 01841",42.709078092267,-71.147974288491,86689874,R
25,1 HANSON PL,SUITE 401,BROOKLYN,NY,11243,1,Census_Geocoder,matched,1,"1 HANSON PL, BROOKLYN, NY, 11243",40.685143182338,-73.977831385389,59077659,L
26,1 HANSON PL,SUITE 711,BROOKLYN,NY,11243,1,Census_Geocoder,matched,1,"1 HANSON PL, BROOKLYN, NY, 11243",40.685143182338,-73.977831385389,59077659,L
27,1 HANSON PL STE 710,,BROOKLYN,NY,11243,1,Census_Geocoder,matched,1,"1 HANSON PL, BROOKLYN, NY, 11243",40.685143182338,-73.977831385389,59077659,L
28,1 HOSPITAL DR,,COLUMBIA,MO,65212,24,Census_Geocoder,unmatched,0,,,,,
29,1 HOSPITAL DRIVE,,COLUMBIA,MO,65212,2,Census_Geocoder,unmatched,0,,,,,
30,1 MED CENTER DR,,MORGANTOWN,WV,26507,1,Census_Geocoder,matched,1,"1 MEDICAL CENTER DR, MORGANTOWN, WV, 26506",39.652235753648,-79.959761392189,50775879,L
31,1 MEDICAL CENTER BLVD,,WINSTON SALEM,NC,27157,4,Census_Geocoder,matched,1,"1 MEDICAL CENTER BLVD, WINSTON SALEM, NC, 27103",36.090221391169,-80.271414776911,84648263,L
32,1 MEDICAL CENTER DR,ANESTHESIOLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
33,1 MEDICAL CENTER DR,CARDIAC ELECTROPHYSIOLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
34,1 MEDICAL CENTER DR,DARTMOUTH HITCHCOCK - ANESTHESIA,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
35,1 MEDICAL CENTER DR,DARTMOUTH HITCHCOCK - OTOLARYNGOLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
36,1 MEDICAL CENTER DR,DARTMOUTH HITCHCOCK - RADIOLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
37,1 MEDICAL CENTER DR,DARTMOUTH-HITCHCOCK CLINIC,LEBANON,NH,03756,2,Census_Geocoder,unmatched,0,,,,,
38,1 MEDICAL CENTER DR,DARTMOUTH-HITCHCOCK MEDICAL CENTER,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
39,1 MEDICAL CENTER DR,DEPARTMENT OF RADIOLOGY,LEBANON,NH,03756,3,Census_Geocoder,unmatched,0,,,,,
40,1 MEDICAL CENTER DR,DEPT OF ANESTH DHMC,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
41,1 MEDICAL CENTER DR,DEPT OF PEDIATRIC ENDOCRINOLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
42,1 MEDICAL CENTER DR,DH - RADIOLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
43,1 MEDICAL CENTER DR,DHMC,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
44,1 MEDICAL CENTER DR,DHMC - DEPARTMENT OF VASCULAR SURGERY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
45,1 MEDICAL CENTER DR,DHMC - DEPT OF NEUROLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
46,1 MEDICAL CENTER DR,DHMC - OCCUPATIONAL MEDICINE,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
47,1 MEDICAL CENTER DR,DHMC - OPHTHALMOLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
48,1 MEDICAL CENTER DR,DHMC - ORTHOPAEDICS,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
49,1 MEDICAL CENTER DR,DHMC - SECTION OF UROLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
50,1 MEDICAL CENTER DR,DHMC - UROLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
51,1 MEDICAL CENTER DR,DHMC CARDIOLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
52,1 MEDICAL CENTER DR,DHMC CLINIC 5 L OB-GYN,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
53,1 MEDICAL CENTER DR,DHMC CNM SERVICE,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
54,1 MEDICAL CENTER DR,DHMC DEPARTMENT OF ANESTHESIA,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
55,1 MEDICAL CENTER DR,DHMC DEPARTMENT OF ANESTHESIA PALLIATIVE CARE,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
56,1 MEDICAL CENTER DR,DHMC DEPARTMENT OF ANESTHESIOLOGY,LEBANON,NH,03756,2,Census_Geocoder,unmatched,0,,,,,
57,1 MEDICAL CENTER DR,DHMC DEPARTMENT OF CARDIOLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
58,1 MEDICAL CENTER DR,DHMC DEPARTMENT OF MEDICINE,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
59,1 MEDICAL CENTER DR,DHMC DEPARTMENT OF NEONATOLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
60,1 MEDICAL CENTER DR,DHMC DEPARTMENT OF PAIN MEDICINE,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
61,1 MEDICAL CENTER DR,DHMC DEPARTMENT OF PATHOLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
62,1 MEDICAL CENTER DR,DHMC DEPARTMENT OF RHEUMATOLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
63,1 MEDICAL CENTER DR,DHMC DEPT OF OPHTHALMOLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
64,1 MEDICAL CENTER DR,DHMC DEPT OF ORTHOPAEDICS,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
65,1 MEDICAL CENTER DR,DHMC DIVISION OF GASTROENTEROLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
66,1 MEDICAL CENTER DR,DHMC ORTHOPAEDICS,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
67,1 MEDICAL CENTER DR,DHMC- DEPARTMENT OF NEUROLOGY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
68,1 MEDICAL CENTER DR,DHMC--DEPT OF PEDIATRICS,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
69,1 MEDICAL CENTER DR,GENERAL INTERNAL MEDICINE,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
70,1 MEDICAL CENTER DR,PEDIATRICS DEPT,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
71,1 MEDICAL CENTER DR,PLASTIC & RECONSTRUCTIVE SURGERY,LEBANON,NH,03756,1,Census_Geocoder,unmatched,0,,,,,
