geo_address_key,street_1_norm,city_norm,state_norm,zip_norm,provider_count,address_variant_count,geocoding_source,geocoding_status,geocoding_match_count,geocoded_matched_address,provider_latitude,provider_longitude,geocoded_tiger_line_id,geocoded_side
# L-3539 | COLUMBUS | OH | 43260,# L-3539,COLUMBUS,OH,43260,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
000 UNIVERSITY DRIVE C | PITTSBURGH | PA | 15240,000 UNIVERSITY DRIVE C,PITTSBURGH,PA,15240,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
0610 TERRAPIN TRAIL | COLLEGE PARK | MD | 20741,0610 TERRAPIN TRAIL,COLLEGE PARK,MD,20741,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1 AMERICAN SQ | INDIANAPOLIS | IN | 46282,1 AMERICAN SQ,INDIANAPOLIS,IN,46282,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1 AMERICAN SQ STE 185 | INDIANAPOLIS | IN | 46282,1 AMERICAN SQ STE 185,INDIANAPOLIS,IN,46282,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1 AYERS CIRCLE | PORTSMOUTH | NH | 03804,1 AYERS CIRCLE,PORTSMOUTH,NH,03804,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1 AYRES CIRCLE | PORTSMOUTH | NH | 03804,1 AYRES CIRCLE,PORTSMOUTH,NH,03804,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1 ELIZABETH PL | DAYTON | OH | 45408,1 ELIZABETH PL,DAYTON,OH,45408,2,2,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1 ELIZABETH PLACE | DAYTON | OH | 45408,1 ELIZABETH PLACE,DAYTON,OH,45408,2,2,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1 FLETCHER DR | GAINESVILLE | FL | 32611,1 FLETCHER DR,GAINESVILLE,FL,32611,9,5,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1 FLETCHER DRIVE | GAINESVILLE | FL | 32611,1 FLETCHER DRIVE,GAINESVILLE,FL,32611,7,5,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1 MEDICAL DR | LEBANON | NH | 03756,1 MEDICAL DR,LEBANON,NH,03756,3,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1 ROBERT WOOD JOHNSON PL | NEW BRUNSWICK | NJ | 08903,1 ROBERT WOOD JOHNSON PL,NEW BRUNSWICK,NJ,08903,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1 SOUTH MAIN C/O GENESIS COUNSELING SERVICES | JANESVILLE | WI | 53547,1 SOUTH MAIN C/O GENESIS COUNSELING SERVICES,JANESVILLE,WI,53547,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1 UNIVERSITY OF NEW MEXICO | ALBUQUERQUE | NM | 87131,1 UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,NM,87131,10,9,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1 UNIVERSITY OF NEW MEXICO DEPT OF | ALBUQUERQUE | NM | 87131,1 UNIVERSITY OF NEW MEXICO DEPT OF,ALBUQUERQUE,NM,87131,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
100 BREWSTER BLVD | CAMP LEJEUNE | NC | 28548,100 BREWSTER BLVD,CAMP LEJEUNE,NC,28548,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
100 MADISON AVE | MORRISTOWN | NJ | 07962,100 MADISON AVE,MORRISTOWN,NJ,07962,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
100 PAGE RD | ROBINS AIR FORCE BASE | GA | 30098,100 PAGE RD,ROBINS AIR FORCE BASE,GA,30098,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
100 TILBURY DR | KEARNY | AZ | 85237,100 TILBURY DR,KEARNY,AZ,85237,2,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1000 | NOWHERE | CA | 94016,1000,NOWHERE,CA,94016,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1000 E UNIVERSITY AVE | LARAMIE | WY | 82071,1000 E UNIVERSITY AVE,LARAMIE,WY,82071,7,5,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1000 E UNIVERSITY AVE # 3068 | LARAMIE | WY | 82071,1000 E UNIVERSITY AVE # 3068,LARAMIE,WY,82071,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1000 E UNIVERSITY AVE DEPT 3195 | LARAMIE | WY | 82071,1000 E UNIVERSITY AVE DEPT 3195,LARAMIE,WY,82071,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1000 N VILLAGE AVENUE | ROCKVILLE CENTRE | NY | 11571,1000 N VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11571,6,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1000 TRENT DR | DURHAM | NC | 27710,1000 TRENT DR,DURHAM,NC,27710,2,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1000 TRENT DRIVE | DURHAM | NC | 27710,1000 TRENT DRIVE,DURHAM,NC,27710,2,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
101 S NEWELL DRIVE | GAINESVILLE | FL | 32611,101 S NEWELL DRIVE,GAINESVILLE,FL,32611,5,2,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1035 NIDER BLVD | NORFOLK | VA | 23521,1035 NIDER BLVD,NORFOLK,VA,23521,9,3,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1040 DELAWARE AVENEUE | MARION | OH | 43301,1040 DELAWARE AVENEUE,MARION,OH,43301,2,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
11 MEDICAL GROUP | BOLLING AFB | DC | 20332,11 MEDICAL GROUP,BOLLING AFB,DC,20332,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
11 ZACHARY TAYLOR ST | CASTLE POINT | NY | 12511,11 ZACHARY TAYLOR ST,CASTLE POINT,NY,12511,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
1110 MEDICAL CAMPUS RD | HAGERSTOWN | MD | 21712,1110 MEDICAL CAMPUS RD,HAGERSTOWN,MD,21712,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
