GEOID_ZCTA5_20,NAMELSAD_ZCTA5_20,GEOID_COUNTY_20,NAMELSAD_COUNTY_20,AREALAND_PART,AREAWATER_PART
00601,ZCTA5 00601,72001,Adjuntas Municipio,164781682,799292
00602,ZCTA5 00602,72003,Aguada Municipio,78530159,4428428
00603,ZCTA5 00603,72005,Aguadilla Municipio,88747846,6276536
00606,ZCTA5 00606,72093,Maricao Municipio,94466099,12487
00610,ZCTA5 00610,72011,Añasco Municipio,93009966,4310530
00611,ZCTA5 00611,72141,Utuado Municipio,27570859,3631
00612,ZCTA5 00612,72013,Arecibo Municipio,195161357,12843144
00616,ZCTA5 00616,72013,Arecibo Municipio,28189755,143499
00617,ZCTA5 00617,72017,Barceloneta Municipio,47372606,1692937
00622,ZCTA5 00622,72023,Cabo Rojo Municipio,80724808,19583150
00623,ZCTA5 00623,72023,Cabo Rojo Municipio,101522968,14192149
00624,ZCTA5 00624,72111,Peñuelas Municipio,115558559,15384817
00627,ZCTA5 00627,72027,Camuy Municipio,120058676,3506587
00631,ZCTA5 00631,72001,Adjuntas Municipio,4091311,252497
00636,ZCTA5 00636,72125,San Germán Municipio,949819,0
00637,ZCTA5 00637,72121,Sabana Grande Municipio,85628403,25323
00638,ZCTA5 00638,72039,Ciales Municipio,169929646,459604
00641,ZCTA5 00641,72141,Utuado Municipio,217772289,3453794
00646,ZCTA5 00646,72051,Dorado Municipio,52970379,3251500
00647,ZCTA5 00647,72055,Guánica Municipio,40217156,7963090
00650,ZCTA5 00650,72054,Florida Municipio,39225458,34012
00652,ZCTA5 00652,72013,Arecibo Municipio,16685216,58059
00653,ZCTA5 00653,72055,Guánica Municipio,55739865,5275491
00656,ZCTA5 00656,72059,Guayanilla Municipio,105926727,10485397
00659,ZCTA5 00659,72065,Hatillo Municipio,106336153,3046729
00660,ZCTA5 00660,72067,Hormigueros Municipio,29314496,481
00662,ZCTA5 00662,72071,Isabela Municipio,106890325,5321071
00664,ZCTA5 00664,72073,Jayuya Municipio,115340542,3091
00667,ZCTA5 00667,72079,Lajas Municipio,152931406,28249387
00669,ZCTA5 00669,72081,Lares Municipio,155150711,28405
00670,ZCTA5 00670,72083,Las Marías Municipio,115278844,318073
00674,ZCTA5 00674,72091,Manatí Municipio,111921830,6882620
00676,ZCTA5 00676,72099,Moca Municipio,125503540,56474
00677,ZCTA5 00677,72117,Rincón Municipio,37005459,3594732
00678,ZCTA5 00678,72115,Quebradillas Municipio,58710727,3699474
00680,ZCTA5 00680,72097,Mayagüez Municipio,156812880,19819684
00682,ZCTA5 00682,72097,Mayagüez Municipio,42171663,8060474
00683,ZCTA5 00683,72125,San Germán Municipio,127657838,29360
00685,ZCTA5 00685,72131,San Sebastián Municipio,178667063,1133210
00687,ZCTA5 00687,72101,Morovis Municipio,100676194,139537
00688,ZCTA5 00688,72013,Arecibo Municipio,84182898,72551
00690,ZCTA5 00690,72005,Aguadilla Municipio,5856225,8603
00692,ZCTA5 00692,72143,Vega Alta Municipio,68604911,1997184
00693,ZCTA5 00693,72145,Vega Baja Municipio,113042021,5335613
00694,ZCTA5 00694,72145,Vega Baja Municipio,2069783,1957115
00698,ZCTA5 00698,72153,Yauco Municipio,158746104,1625258
00703,ZCTA5 00703,72007,Aguas Buenas Municipio,74857404,28383
00704,ZCTA5 00704,72123,Salinas Municipio,22711614,2021101
00705,ZCTA5 00705,72009,Aibonito Municipio,76526187,71893
00707,ZCTA5 00707,72095,Maunabo Municipio,54196286,3816672
00714,ZCTA5 00714,72015,Arroyo Municipio,38857653,2810000
00715,ZCTA5 00715,72113,Ponce Municipio,32638754,10996927
00716,ZCTA5 00716,72113,Ponce Municipio,22449489,14362646
00717,ZCTA5 00717,72113,Ponce Municipio,6145510,160726
00718,ZCTA5 00718,72103,Naguabo Municipio,122124435,4621160
00719,ZCTA5 00719,72105,Naranjito Municipio,70969173,898340
00720,ZCTA5 00720,72107,Orocovis Municipio,144378028,286519
00723,ZCTA5 00723,72109,Patillas Municipio,118514616,17458470
00725,ZCTA5 00725,72025,Caguas Municipio,93344067,1170717
00727,ZCTA5 00727,72025,Caguas Municipio,58439043,30356
00728,ZCTA5 00728,72113,Ponce Municipio,39878650,21619111
00729,ZCTA5 00729,72029,Canóvanas Municipio,84749593,362179
00730,ZCTA5 00730,72113,Ponce Municipio,17191037,147581
00731,ZCTA5 00731,72113,Ponce Municipio,123013531,2862000
00735,ZCTA5 00735,72037,Ceiba Municipio,67084117,7756529
00736,ZCTA5 00736,72035,Cayey Municipio,131454582,68570
00738,ZCTA5 00738,72053,Fajardo Municipio,76367260,77099509
00739,ZCTA5 00739,72041,Cidra Municipio,79702683,1107222
00740,ZCTA5 00740,72053,Fajardo Municipio,1081390,1552447
00741,ZCTA5 00741,72069,Humacao Municipio,5896296,2792488
00745,ZCTA5 00745,72119,Río Grande Municipio,157008570,6269380
00751,ZCTA5 00751,72123,Salinas Municipio,157043787,31382701
00754,ZCTA5 00754,72129,San Lorenzo Municipio,129481143,241011
00757,ZCTA5 00757,72133,Santa Isabel Municipio,84003578,10287518
00765,ZCTA5 00765,72147,Vieques Municipio,122392233,41363239
00766,ZCTA5 00766,72149,Villalba Municipio,92298569,3622640
00767,ZCTA5 00767,72151,Yabucoa Municipio,141949016,6804946
00769,ZCTA5 00769,72043,Coamo Municipio,195731993,37652
00771,ZCTA5 00771,72085,Las Piedras Municipio,86130989,32338
00772,ZCTA5 00772,72087,Loíza Municipio,42328585,14246874
00773,ZCTA5 00773,72089,Luquillo Municipio,62418898,2572582
00775,ZCTA5 00775,72049,Culebra Municipio,30161189,43526072
00777,ZCTA5 00777,72077,Juncos Municipio,68609110,323994
00778,ZCTA5 00778,72063,Gurabo Municipio,71889882,1108806
00780,ZCTA5 00780,72113,Ponce Municipio,48730595,752076
00782,ZCTA5 00782,72045,Comerío Municipio,70567126,319739
00783,ZCTA5 00783,72047,Corozal Municipio,108047184,16284
00784,ZCTA5 00784,72057,Guayama Municipio,167872705,16182440
00786,ZCTA5 00786,72009,Aibonito Municipio,4568280,0
00791,ZCTA5 00791,72069,Humacao Municipio,108064148,4708206
00794,ZCTA5 00794,72019,Barranquitas Municipio,85805763,77812
00795,ZCTA5 00795,72075,Juana Díaz Municipio,154715929,10492030
00802,ZCTA5 00802,78030,St. Thomas Island,77269356,30085012
00820,ZCTA5 00820,78010,St. Croix Island,111685261,13196002
00830,ZCTA5 00830,78020,St. John Island,50211282,24036673
00840,ZCTA5 00840,78010,St. Croix Island,80276060,4045556
00850,ZCTA5 00850,78010,St. Croix Island,22223184,382853
00851,ZCTA5 00851,78010,St. Croix Island,961179,0
00901,ZCTA5 00901,72127,San Juan Municipio,2628102,4169259
00906,ZCTA5 00906,72127,San Juan Municipio,8247,0
00907,ZCTA5 00907,72127,San Juan Municipio,5291703,5193350
00909,ZCTA5 00909,72127,San Juan Municipio,1690949,115273
00911,ZCTA5 00911,72127,San Juan Municipio,1232506,684579
00912,ZCTA5 00912,72127,San Juan Municipio,960485,0
00913,ZCTA5 00913,72127,San Juan Municipio,839091,2158608
00915,ZCTA5 00915,72127,San Juan Municipio,3630529,820368
00917,ZCTA5 00917,72127,San Juan Municipio,3536052,46271
00918,ZCTA5 00918,72127,San Juan Municipio,6987285,149509
00920,ZCTA5 00920,72127,San Juan Municipio,9348956,2452161
00921,ZCTA5 00921,72127,San Juan Municipio,7948284,0
00923,ZCTA5 00923,72127,San Juan Municipio,5205883,937118
00924,ZCTA5 00924,72127,San Juan Municipio,11655108,958843
00925,ZCTA5 00925,72127,San Juan Municipio,1154387,0
00926,ZCTA5 00926,72127,San Juan Municipio,50210153,190303
00927,ZCTA5 00927,72127,San Juan Municipio,6275250,5830
00934,ZCTA5 00934,72061,Guaynabo Municipio,2537923,1283
