Feature,Description
STATE_CLEAN,Standardized provider state or territory code
ZIP_CLEAN,Five-digit ZIP/ZCTA identifier
provider_count,Total providers associated with the ZIP
individual_provider_count,Number of individual providers
organization_provider_count,Number of organization providers
unique_specialty_count,Number of distinct provider specialties in the ZIP
providers_with_specialty,Number of providers with available specialty information
specialty_diversity_ratio,Specialty diversity relative to total providers
state_provider_count,Total providers within the state or territory
zip_provider_share_of_state,Share of state or territory providers located in the ZIP
individual_provider_ratio,Proportion of providers that are individuals
organization_provider_ratio,Proportion of providers that are organizations
population,2023 ACS 5-year ZCTA total population
providers_per_10000,"Providers per 10,000 population"
individual_providers_per_10000,"Individual providers per 10,000 population"
organization_providers_per_10000,"Organization providers per 10,000 population"
