ZIP_CLEAN,population
00601,16721
00602,37510
00603,48317
00606,5435
00610,25413
00611,1522
00612,62462
00616,9836
00617,22699
00622,7950
00623,39005
00624,21374
00627,32753
00631,1357
00636,1071
00637,22884
00638,17410
00641,23962
00646,36099
00647,4611
00650,13457
00652,4492
00653,8665
00656,17815
00659,37203
00660,15439
00662,40705
00664,14816
00667,23116
00669,27534
00670,8553
00674,39288
00676,36836
00677,15432
00678,24848
00680,42817
00682,29939
00683,29431
00685,40323
00687,28534
00688,10985
00690,6275
00692,32717
00693,55725
00694,125
00698,32945
00703,24642
00704,6433
00705,24475
00707,10400
00714,15573
00715,2003
00716,27705
00717,14651
00718,23174
00719,29732
00720,20974
00723,15835
00725,76246
00727,53412
00728,37322
00729,47653
00730,31976
00731,10221
00735,11159
00736,45528
00738,29797
00739,34595
00740,1959
00741,3733
00745,47077
00751,19596
00754,36822
00757,19974
00765,8147
00766,21829
00767,30453
00769,33953
00771,35165
00772,16961
00773,17631
00775,1281
00777,37243
00778,40391
00780,13612
00782,18397
00783,34266
00784,35405
00786,135
00791,45912
00794,28450
00795,43212
00901,6762
00906,46
00907,15911
00909,5466
00911,7430
00912,6219
00913,6700
00915,24484
00917,18216
00918,16379
00920,16403
00921,34197
00923,24826
00924,47800
00925,4777
00926,93308
00927,13675
00934,80
00949,66714
00950,0
00951,399
00952,8488
00953,66475
00956,67050
00957,40357
00959,46409
00960,3340
00961,28891
00962,19213
00965,5886
00966,17715
00968,3488
00969,41619
00971,25499
00976,61306
00979,15597
00982,13839
00983,31583
00985,31783
00987,55039
01001,16136
01002,24726
01003,12458
01005,4786
01007,15406
01008,1324
01009,790
01010,3694
01011,1205
01012,387
01013,22950
01020,30230
01022,2045
01026,1005
01027,17678
01028,16283
01029,652
01030,12374
01031,1715
01032,503
01033,6088
01034,2100
01035,5299
01036,4937
01037,486
01038,2534
01039,1660
01040,37949
01050,2573
01053,2033
01054,1704
01056,20846
01057,8200
01060,15237
01062,9188
01063,2121
01066,115
01068,1623
01069,9077
01070,593
01071,1219
01072,1447
01073,6212
01074,749
01075,17410
01077,9222
01079,282
01080,2308
01081,1704
01082,10418
01083,2746
01084,101
01085,41466
01088,654
01089,28635
01092,1123
01093,149
01094,64
01095,14615
01096,2566
01097,45
01098,1019
01103,2336
01104,21745
01105,11469
01106,15961
01107,12270
01108,27409
01109,31418
01118,15009
01119,14059
01128,3252
01129,5993
01144,0
01151,9627
01201,45072
01220,8106
01222,611
01223,2588
01224,201
01225,3234
01226,6304
01229,213
01230,8813
01235,2456
01236,1593
01237,2269
01238,5893
01240,5024
01242,165
01243,196
01244,243
01245,828
01247,14967
01253,903
01254,962
01255,850
01256,733
01257,2331
01258,191
01259,778
01260,20
01262,1652
01264,184
01266,919
01267,7985
01270,1002
01301,17876
01330,1711
01331,13865
01337,2515
01338,79
01339,1361
01340,1807
01341,1605
01342,1313
01343,190
01344,1639
01346,453
01347,114
01349,753
01350,115
01351,2644
01354,1831
01355,963
01360,2875
01364,7668
01366,1173
01367,574
01368,1497
01370,3641
01373,4784
01375,3653
01376,5032
01378,861
01379,742
01380,32
01420,41677
01430,6450
01431,3188
01432,8124
01434,1889
01436,3720
01438,192
01440,21298
01450,11228
01451,5359
01452,4339
01453,43635
01460,10150
01462,11822
01463,11693
01464,7017
01468,4157
01469,6803
01473,8289
01474,2249
01475,10194
01501,16780
01503,3311
01504,9211
01505,4896
01506,3442
01507,13359
01510,15430
01515,2120
01516,9287
01518,2835
01519,7738
01520,16864
01521,2576
01522,3021
01523,8470
01524,6110
01525,0
01527,13899
01529,3156
01531,925
01532,15694
01534,6097
01535,4739
01536,7119
01537,1821
01540,11521
01541,3500
01542,2572
01543,9202
01545,38440
01550,17806
01560,4914
01561,0
01562,11961
01564,8111
01566,7054
01568,7926
01569,14127
01570,17674
01571,11886
01581,21591
01583,7516
01585,4942
01588,10357
01590,9287
01602,25791
01603,21034
01604,39988
01605,31086
01606,22269
01607,8755
01608,4951
01609,23184
01610,28719
01611,2401
01612,4996
01701,32270
01702,39761
01718,528
01719,5468
01720,23322
01721,18694
01730,14478
01731,1745
01740,5698
01741,5209
01742,18337
01745,660
01746,14964
01747,6024
01748,19050
01749,19959
01752,41398
01754,10663
01756,6266
01757,30473
01760,36520
01770,4404
01772,9781
01773,5257
01775,7109
01776,19067
01778,13915
01801,41205
01803,26068
01810,35608
01821,30203
01824,26628
01826,32373
01827,3375
01830,26685
01832,26065
01833,8380
01834,6747
01835,14637
01840,7092
01841,52761
01843,28444
01844,53015
01845,31881
01850,16983
01851,32308
01852,36700
01854,28808
01860,6707
01862,11703
01863,9592
01864,15634
01867,25474
01876,30962
01879,12435
01880,27258
01886,24584
01887,23195
01890,22862
01901,1934
01902,51680
01904,20103
01905,27188
01906,28599
01907,15279
01908,3328
01913,17277
01915,41656
01921,8229
01922,3791
01923,27778
01929,3605
01930,29862
01937,146
01938,13820
01940,13183
01944,5368
01945,20390
01949,9727
01950,18444
01951,2938
01952,9217
01960,53961
01965,752
01966,6977
01969,6214
01970,44115
01982,7646
01983,6535
01984,4930
01985,4536
02019,17160
02021,24459
02025,8358
02026,25109
02030,5893
02032,4914
02035,18516
02038,33067
02043,24185
02045,10098
02047,142
02048,23855
02050,25903
02052,12923
02053,13251
02054,8699
02056,11556
02061,11309
02062,31380
02066,18895
02067,18478
02071,1677
02072,29074
02081,19703
02090,16213
02093,12305
02108,4178
02109,3714
02110,2178
02111,8067
02113,6522
02114,13853
02115,28621
02116,22040
02118,28522
02119,26851
02120,15248
02121,28298
02122,23471
02124,55897
02125,33069
02126,25313
02127,36646
02128,44124
02129,19994
02130,41109
02131,31564
02132,27069
02133,80
02134,17637
02135,43683
02136,38071
02138,38077
02139,39609
02140,21361
02141,14677
02142,4349
02143,25161
02144,25009
02145,27929
02148,65509
02149,49236
02150,39444
02151,59949
02152,18807
02155,61276
02163,1852
02169,60928
02170,19685
02171,20513
02176,29488
02180,22986
02184,38762
02186,28716
02188,15396
02189,15231
02190,19029
02191,8130
02199,1253
02203,0
02205,0
02210,6554
02215,24054
02301,68608
02302,36472
02322,4753
02324,26022
02325,2647
02330,11645
02332,16110
02333,14420
02338,7734
02339,14800
02341,10466
02343,11267
02346,24360
02347,11732
02350,149
02351,17008
02356,12547
02357,1410
02359,18335
02360,62405
02364,13782
02366,251
02367,2934
02368,34736
02370,17709
02375,11205
02379,7682
02382,15215
02420,16287
02421,17798
02445,22568
02446,31109
02451,18153
02452,16173
02453,30314
02457,1886
02458,13308
02459,18604
02460,10033
02461,6717
02462,1459
02464,3730
02465,11297
02466,8553
02467,22325
02468,5901
02472,35317
02474,28283
02476,17732
02478,26966
02481,17262
02482,10758
02492,21481
02493,11443
02494,10578
02532,13180
02534,1284
02535,2393
02536,21100
02537,6486
02538,4556
02539,5212
02540,8354
02542,854
02543,810
02553,38
02554,14033
02556,2586
02557,1849
02558,1658
02559,2812
02561,260
02562,3698
02563,10315
02564,243
02568,8829
02571,10538
02575,2417
02576,4498
02584,23
02601,16066
02630,2539
02631,10189
02632,12217
02633,4536
02635,3673
02637,351
02638,3256
02639,3387
02641,299
02642,5772
02643,0
02644,3618
02645,11060
02646,1715
02647,228
02648,7592
02649,15234
02650,1017
02652,924
02653,6342
02655,3535
02657,3681
02659,1090
02660,6767
02663,446
02664,9720
02666,751
02667,3925
02668,2514
02670,1071
02671,932
02672,0
02673,8969
02675,6919
02702,4445
02703,46479
02713,42
02715,3778
02717,4777
02718,7125
02719,15878
02720,31063
02721,25922
02723,17111
02724,18758
02725,2300
02726,15946
02738,5312
02739,6563
02740,46336
02743,10476
02744,12549
02745,25013
02746,16791
02747,21500
02748,11501
02760,29078
02762,9872
02763,1764
02764,4344
02766,19155
02767,15337
02769,12809
02770,5716
02771,15573
02777,17231
02779,6789
02780,52530
02790,16725
02791,316
02802,531
02804,2661
02806,17113
02807,829
02808,2561
02809,22317
02812,1432
02813,8017
02814,7421
02815,178
02816,33246
02817,6598
02818,19869
02822,6139
02823,20
02824,375
02825,5861
02826,615
02827,2441
02828,7058
02829,63
02830,6936
02831,3665
02832,4950
02833,662
02835,5545
02836,47
02837,3601
02838,4007
02839,1690
02840,23615
02841,1414
02842,16920
02852,23269
02857,8095
02858,280
02859,6803
02860,47372
02861,27928
02863,22481
02864,36383
02865,18033
02871,17635
02872,105
02873,89
02874,6715
02875,206
02876,444
02878,16260
02879,22628
02881,7183
02882,12984
02885,11138
02886,30925
02888,18951
02889,27533
02891,21698
02892,5704
02893,31025
02894,554
02895,43081
02896,11683
02898,1745
02903,12309
02904,32462
02905,24780
02906,26327
02907,31427
02908,39661
02909,44445
02910,23406
02911,14963
02912,4824
02914,21397
02915,16848
02916,8725
02917,15068
02918,2944
02919,29473
02920,36332
02921,12673
03031,11873
03032,6031
03033,5697
03034,4197
03036,5263
03037,4791
03038,34622
03042,7300
03043,1347
03044,4783
03045,14013
03046,3055
03047,1816
03048,3414
03049,8530
03051,25476
03052,8495
03053,25930
03054,27604
03055,16258
03057,2630
03060,32223
03062,28713
03063,15630
03064,14565
03070,6143
03071,5274
03076,14333
03077,10837
03079,30646
03082,1676
03084,1367
03086,4183
03087,15922
03101,3148
03102,33755
03103,37659
03104,35274
03106,14923
03109,10118
03110,23580
03215,269
03216,2105
03217,2207
03218,1202
03220,7376
03221,2210
03222,6135
03223,3398
03224,2458
03225,3770
03226,998
03227,1399
03229,5976
03230,1539
03231,80
03233,171
03234,4896
03235,8843
03237,2313
03238,52
03240,1248
03241,1115
03242,6161
03243,924
03244,8005
03245,1927
03246,17006
03249,7785
03251,1484
03253,6677
03254,5089
03255,1957
03256,2473
03257,4503
03258,2693
03259,237
03260,908
03261,4653
03262,1172
03263,4094
03264,6911
03266,2075
03268,1469
03269,2946
03273,277
03275,12115
03276,9046
03278,3024
03279,810
03280,1188
03281,9141
03282,1075
03284,854
03285,2763
03287,1424
03290,5304
03291,0
03293,68
03301,33987
03303,16368
03304,8295
03307,5683
03431,25035
03440,2622
03441,389
03442,1494
03443,421
03444,1614
03445,699
03446,6486
03447,2317
03448,719
03449,1806
03450,942
03451,3987
03452,5413
03455,2148
03456,848
03457,720
03458,6914
03461,6482
03462,1760
03464,965
03465,2034
03466,1411
03467,2146
03470,5038
03561,6031
03570,9473
03574,2545
03575,0
03576,2740
03579,407
03580,1479
03581,3243
03582,2218
03583,1001
