STATE_CLEAN,ZIP_CLEAN,provider_count,individual_provider_count,organization_provider_count,unique_specialty_count,providers_with_specialty,specialty_diversity_ratio,state_provider_count,zip_provider_share_of_state,individual_provider_ratio,organization_provider_ratio
AA,20889,2,2,0,2,2,1.0,10,0.2,1.0,0.0
AA,34009,1,1,0,1,1,1.0,10,0.1,1.0,0.0
AA,34031,2,2,0,2,2,1.0,10,0.2,1.0,0.0
AA,34039,1,1,0,1,1,1.0,10,0.1,1.0,0.0
AA,34092,1,1,0,1,1,1.0,10,0.1,1.0,0.0
AA,34093,1,1,0,1,1,1.0,10,0.1,1.0,0.0
AA,80913,1,1,0,1,1,1.0,10,0.1,1.0,0.0
AA,92055,1,1,0,1,1,1.0,10,0.1,1.0,0.0
AE,00000,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AE,09009,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AE,09012,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AE,09031,2,2,0,2,2,1.0,247,0.008097165991902834,1.0,0.0
AE,09033,2,2,0,2,2,1.0,247,0.008097165991902834,1.0,0.0
AE,09034,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AE,09036,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AE,09042,21,20,1,14,21,0.6666666666666666,247,0.08502024291497975,0.9523809523809523,0.047619047619047616
AE,09074,2,2,0,2,2,1.0,247,0.008097165991902834,1.0,0.0
AE,09086,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AE,09094,7,6,1,7,7,1.0,247,0.02834008097165992,0.8571428571428571,0.14285714285714285
AE,09096,4,4,0,4,4,1.0,247,0.016194331983805668,1.0,0.0
AE,09107,4,4,0,3,4,0.75,247,0.016194331983805668,1.0,0.0
AE,09112,18,16,2,14,18,0.7777777777777778,247,0.0728744939271255,0.8888888888888888,0.1111111111111111
AE,09114,3,2,1,3,3,1.0,247,0.012145748987854251,0.6666666666666666,0.3333333333333333
AE,09126,3,2,1,3,3,1.0,247,0.012145748987854251,0.6666666666666666,0.3333333333333333
AE,09139,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AE,09161,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AE,09165,3,3,0,3,3,1.0,247,0.012145748987854251,1.0,0.0
AE,09173,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AE,09175,4,3,1,4,4,1.0,247,0.016194331983805668,0.75,0.25
AE,09177,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AE,09180,59,58,1,39,59,0.6610169491525424,247,0.2388663967611336,0.9830508474576272,0.01694915254237288
AE,09226,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AE,09244,7,6,1,7,7,1.0,247,0.02834008097165992,0.8571428571428571,0.14285714285714285
AE,09250,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AE,09267,2,2,0,2,2,1.0,247,0.008097165991902834,1.0,0.0
AE,09409,2,2,0,2,2,1.0,247,0.008097165991902834,1.0,0.0
AE,09421,2,2,0,2,2,1.0,247,0.008097165991902834,1.0,0.0
AE,09461,5,5,0,5,5,1.0,247,0.020242914979757085,1.0,0.0
AE,09464,8,7,1,8,8,1.0,247,0.032388663967611336,0.875,0.125
