STATE_CLEAN,ZIP_CLEAN,provider_count,individual_provider_count,organization_provider_count,unique_specialty_count,providers_with_specialty,specialty_diversity_ratio,state_provider_count,zip_provider_share_of_state,individual_provider_ratio,organization_provider_ratio,population,providers_per_10000,individual_providers_per_10000,organization_providers_per_10000
AA,20889,2,2,0,2,2,1.0,10,0.2,1.0,0.0,210.0,95.23809523809524,95.23809523809524,0.0
AA,34009,1,1,0,1,1,1.0,10,0.1,1.0,0.0,,,,
AA,34031,2,2,0,2,2,1.0,10,0.2,1.0,0.0,,,,
AA,34039,1,1,0,1,1,1.0,10,0.1,1.0,0.0,,,,
AA,34092,1,1,0,1,1,1.0,10,0.1,1.0,0.0,,,,
AA,34093,1,1,0,1,1,1.0,10,0.1,1.0,0.0,,,,
AA,80913,1,1,0,1,1,1.0,10,0.1,1.0,0.0,6873.0,1.4549687181725592,1.4549687181725592,0.0
AA,92055,1,1,0,1,1,1.0,10,0.1,1.0,0.0,11181.0,0.8943743851176101,0.8943743851176101,0.0
AE,00000,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09009,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09012,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09031,2,2,0,2,2,1.0,247,0.0080971659919028,1.0,0.0,,,,
AE,09033,2,2,0,2,2,1.0,247,0.0080971659919028,1.0,0.0,,,,
AE,09034,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09036,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09042,21,20,1,14,21,0.6666666666666666,247,0.0850202429149797,0.9523809523809524,0.0476190476190476,,,,
AE,09074,2,2,0,2,2,1.0,247,0.0080971659919028,1.0,0.0,,,,
AE,09086,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09094,7,6,1,7,7,1.0,247,0.0283400809716599,0.8571428571428571,0.1428571428571428,,,,
AE,09096,4,4,0,4,4,1.0,247,0.0161943319838056,1.0,0.0,,,,
AE,09107,4,4,0,3,4,0.75,247,0.0161943319838056,1.0,0.0,,,,
AE,09112,18,16,2,14,18,0.7777777777777778,247,0.0728744939271255,0.8888888888888888,0.1111111111111111,,,,
AE,09114,3,2,1,3,3,1.0,247,0.0121457489878542,0.6666666666666666,0.3333333333333333,,,,
AE,09126,3,2,1,3,3,1.0,247,0.0121457489878542,0.6666666666666666,0.3333333333333333,,,,
AE,09139,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09161,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09165,3,3,0,3,3,1.0,247,0.0121457489878542,1.0,0.0,,,,
AE,09173,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09175,4,3,1,4,4,1.0,247,0.0161943319838056,0.75,0.25,,,,
AE,09177,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09180,59,58,1,39,59,0.6610169491525424,247,0.2388663967611336,0.9830508474576272,0.0169491525423728,,,,
AE,09226,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09244,7,6,1,7,7,1.0,247,0.0283400809716599,0.8571428571428571,0.1428571428571428,,,,
AE,09250,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09267,2,2,0,2,2,1.0,247,0.0080971659919028,1.0,0.0,,,,
AE,09409,2,2,0,2,2,1.0,247,0.0080971659919028,1.0,0.0,,,,
AE,09421,2,2,0,2,2,1.0,247,0.0080971659919028,1.0,0.0,,,,
AE,09461,5,5,0,5,5,1.0,247,0.020242914979757,1.0,0.0,,,,
AE,09464,8,7,1,8,8,1.0,247,0.0323886639676113,0.875,0.125,,,,
AE,09470,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09550,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09557,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09566,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09573,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09578,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09586,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09589,3,3,0,3,3,1.0,247,0.0121457489878542,1.0,0.0,,,,
AE,09591,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09599,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09601,2,2,0,2,2,1.0,247,0.0080971659919028,1.0,0.0,,,,
AE,09604,3,3,0,3,3,1.0,247,0.0121457489878542,1.0,0.0,,,,
AE,09609,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09612,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09613,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09617,15,15,0,14,15,0.9333333333333332,247,0.0607287449392712,1.0,0.0,,,,
AE,09618,2,1,1,2,2,1.0,247,0.0080971659919028,0.5,0.5,,,,
AE,09622,2,2,0,2,2,1.0,247,0.0080971659919028,1.0,0.0,,,,
AE,09627,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09630,5,5,0,5,5,1.0,247,0.020242914979757,1.0,0.0,,,,
AE,09636,7,7,0,7,7,1.0,247,0.0283400809716599,1.0,0.0,,,,
AE,09645,11,10,1,10,11,0.9090909090909092,247,0.0445344129554655,0.9090909090909092,0.0909090909090909,,,,
AE,09705,3,2,1,3,3,1.0,247,0.0121457489878542,0.6666666666666666,0.3333333333333333,,,,
AE,09728,3,3,0,3,3,1.0,247,0.0121457489878542,1.0,0.0,,,,
AE,09810,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09834,2,2,0,2,2,1.0,247,0.0080971659919028,1.0,0.0,,,,
AE,09835,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,23434,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,52556.0,0.19027323236167137,0.19027323236167137,0.0
AE,96350,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,96757,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,800.0,12.5,12.5,0.0
AE,98431,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AK,99501,7,5,2,7,7,1.0,562,0.0124555160142348,0.7142857142857143,0.2857142857142857,16563.0,4.226287508301636,3.018776791644026,1.2075107166576105
AK,99502,4,3,1,4,4,1.0,562,0.0071174377224199,0.75,0.25,26110.0,1.5319800842589046,1.1489850631941785,0.38299502106472616
AK,99503,31,27,4,22,31,0.7096774193548387,562,0.0551601423487544,0.8709677419354839,0.1290322580645161,12944.0,23.94932014833127,20.859085290482078,3.0902348578491963
AK,99504,8,5,3,8,8,1.0,562,0.0142348754448398,0.625,0.375,41684.0,1.919201612129354,1.1995010075808463,0.7197006045485078
